symbol,date,open,high,low,close,volume,adjusted,ticker,djia
AAPL,2020-01-14,316.700012,317.570007,312.170013,312.679993,40488600,311.939667,AAPL,1
AAPL,2020-01-15,311.850006,315.5,309.549988,311.339996,30480900,310.602844,AAPL,1
AAPL,2020-01-16,313.589996,315.700012,312.089996,315.23999,27207300,314.493591,AAPL,1
AAPL,2020-01-17,316.269989,318.73999,315,318.730011,34454100,317.975372,AAPL,1
AAPL,2020-01-21,317.190002,319.019989,316,316.570007,27710800,315.820465,AAPL,1
AAPL,2020-01-22,318.579987,319.98999,317.309998,317.700012,25458100,316.947815,AAPL,1
AAPL,2020-01-23,317.920013,319.559998,315.649994,319.230011,26118000,318.474182,AAPL,1
AAPL,2020-01-24,320.25,323.329987,317.519989,318.309998,36634400,317.556335,AAPL,1
AAPL,2020-01-27,310.059998,311.769989,304.880005,308.950012,40485000,308.218506,AAPL,1
AAPL,2020-01-28,312.600006,318.399994,312.190002,317.690002,40558500,316.937805,AAPL,1
AAPL,2020-01-29,324.450012,327.850006,321.380005,324.339996,54057300,323.572052,AAPL,1
AAPL,2020-01-30,320.540009,324.089996,318.75,323.869995,31685800,323.10318,AAPL,1
AAPL,2020-01-31,320.929993,322.679993,308.290009,309.51001,49897100,308.777191,AAPL,1
AAPL,2020-02-03,304.299988,313.48999,302.220001,308.660004,43496400,307.929199,AAPL,1
AAPL,2020-02-04,315.309998,319.640015,313.630005,318.850006,34154100,318.095062,AAPL,1
AAPL,2020-02-05,323.519989,324.76001,318.950012,321.450012,29706700,320.688934,AAPL,1
AAPL,2020-02-06,322.570007,325.220001,320.26001,325.209991,26356400,324.440002,AAPL,1
AAPL,2020-02-07,322.369995,323.399994,318,320.029999,29421000,320.029999,AAPL,1
AAPL,2020-02-10,314.179993,321.549988,313.850006,321.549988,27337200,321.549988,AAPL,1
AAPL,2020-02-11,323.600006,323.899994,318.709991,319.609985,23580800,319.609985,AAPL,1
AAPL,2020-02-12,321.470001,327.220001,321.470001,327.200012,28432600,327.200012,AAPL,1
AAPL,2020-02-13,324.190002,326.220001,323.350006,324.869995,23686900,324.869995,AAPL,1
AAPL,2020-02-14,324.73999,325.980011,322.850006,324.950012,20028400,324.950012,AAPL,1
AAPL,2020-02-18,315.359985,319.75,314.609985,319,38132800,319,AAPL,1
AAPL,2020-02-19,320,324.570007,320,323.619995,23496000,323.619995,AAPL,1
AAPL,2020-02-20,322.630005,324.649994,318.209991,320.299988,25141500,320.299988,AAPL,1
AAPL,2020-02-21,318.619995,320.450012,310.5,313.049988,32388500,313.049988,AAPL,1
AAPL,2020-02-24,297.26001,304.179993,289.230011,298.179993,55548800,298.179993,AAPL,1
