headlines,date,type
"If you can still ignore the fires in Australia after seeing this vid, you are NOT a human being.  https://t.co/K2RbdQKZfq<e2><80><94> Cinnamon Boi (@WILDDFORLANA) January 4, 2020Ricky Gervais to celebrities at the Golden Globes: ""You're in no position to lecture the public about anything. You know nothing about the real world.""Ends by telling award winners to ""f**k off.""Incredible video: https://t.co/awdL4E2Zyf<e2><80><94> David Hookstead (@dhookstead) January 6, 2020This Media Post will serve as a reminder that war powers reside in the Congress under the United States Constitution. And that you should read the War Powers Act. And that you<e2><80><99>re not a dictator. https://t.co/VTroMegWv0<e2><80><94> House Foreign Affairs Committee (@HouseForeign) ",2020-01-05,topTweets
"Irwin family saves 90,000+ animals injured in Australia wildfires",2020-01-05,topNewsHeadlines
Iran Ends Commitment to Landmark Nuclear Deal: Live Updates,2020-01-05,topNewsHeadlines
Trump warns Iran: US has targeted '52 Iranian sites' and will 'hit very fast and very hard' if needed,2020-01-05,topNewsHeadlines
"After Soleimani death, Colin Kaepernick decries US 'terrorist attacks against Black and Brown people'",2020-01-05,topNewsHeadlines
"Nicole Kidman & Keith Urban Donate $500,000 to Australian Fire Relief",2020-01-05,topNewsHeadlines
"<e2><80><98>F**K OFF<e2><80><99>: Ricky Gervais Blasts Hollywood For Lecturing World, Politicizing Everything, Trolls Them Over Epstein",2020-01-05,topNewsHeadlines
Iraqi parliament votes to expel U.S. troops from the country,2020-01-05,topNewsHeadlines
Fresh Cambridge Analytica leak <e2><80><98>shows global manipulation is out of control<e2><80><99>,2020-01-05,topNewsHeadlines
The Patriots Getting Eliminated Set To Titanic Music Is Absolutely Glorious (WATCH),2020-01-05,topNewsHeadlines
"NOTE TO DEMOCRATS: Obama Launched 2,800 Strikes On Iraq, Syria Without Congressional Approval",2020-01-05,topNewsHeadlines
"At least five killed, dozens injured in Pennsylvania Turnpike crash involving bus, trucks",2020-01-05,topNewsHeadlines
#IfTheWorldHadNoMen,2020-01-05,topTrendingOnSm
#GoldenGlobes,2020-01-05,topTrendingOnSm
Saints,2020-01-05,topTrendingOnSm
Wentz,2020-01-05,topTrendingOnSm
#WeAreTheLGBTQ,2020-01-05,topTrendingOnSm
Taysom Hill,2020-01-05,topTrendingOnSm
Brees,2020-01-05,topTrendingOnSm
#IThinkILoveJBDay,2020-01-05,topTrendingOnSm
2 Trillion,2020-01-05,topTrendingOnSm
Happy Founders,2020-01-05,topTrendingOnSm
Kirk Cousins,2020-01-05,topTrendingOnSm
Pennsylvania Turnpike,2020-01-05,topTrendingOnSm
i<e2><80><99>d call this a date. https://t.co/aJRxNTfHsN<e2><80><94> sam <e2><99><a1> (@saucyybbq) ,2020-01-06,topTweets
"Ricky Gervais to celebrities at the Golden Globes: ""You're in no position to lecture the public about anything. You know nothing about the real world.""Ends by telling award winners to ""f**k off.""Incredible video: https://t.co/awdL4E2Zyf<e2><80><94> David Hookstead (@dhookstead) ",2020-01-06,topTweets
"How the fuck can teasing huge corporations, and the richest, most  privileged people in the world be considered right wing? <f0><9f><98><82> #GoldenGlobes https://t.co/rfXdGrZ41j<e2><80><94> Ricky Gervais (@rickygervais) ",2020-01-06,topTweets
"<e2><80><98>F**K OFF<e2><80><99>: Ricky Gervais Blasts Hollywood For Lecturing World, Politicizing Everything, Trolls Them Over Epstein",2020-01-06,topNewsHeadlines
Actor George Lopez Accepts Iran's Bounty to Assassinate President Trump,2020-01-06,topNewsHeadlines
Awkwafina makes Golden Globe history with best actress in a comedy win,2020-01-06,topNewsHeadlines
Cowboys agree to terms with former Packers coach Mike McCarthy after parting ways with Jason Garrett,2020-01-06,topNewsHeadlines
Joker Star Joaquin Phoenix Wins Best Actor at Golden Globes,2020-01-06,topNewsHeadlines
Stephanie Hofeller Shares Redistricting Files From Thomas Hofeller's Hard Drives : NPR,2020-01-06,topNewsHeadlines
"Trump Threatens Iranian Cultural Sites, and Warns of Sanctions on Iraq",2020-01-06,topNewsHeadlines
Donald Trump Jr. Shows Off Assault Rifle With Hillary Behind Bars On The Mag,2020-01-06,topNewsHeadlines
"Puerto Rican natural arch, Punta Ventana, collapses amid 5.8 magnitude earthquake",2020-01-06,topNewsHeadlines
Pelosi moves to limit Trump<e2><80><99>s actions in Iran with War Powers Resolution vote,2020-01-06,topNewsHeadlines
"Suburban Army Specialist Killed in Attack at Kenya Airfield, Family Says",2020-01-06,topNewsHeadlines
Greta Thunberg,2020-01-06,topTrendingOnSm
Mike McCarthy,2020-01-06,topTrendingOnSm
Ansel Elgort,2020-01-06,topTrendingOnSm
Elton John,2020-01-06,topTrendingOnSm
Renee Zellweger,2020-01-06,topTrendingOnSm
"Ricky Gervais to celebrities at the Golden Globes: ""You're in no position to lecture the public about anything. You know nothing about the real world.""Ends by telling award winners to ""f**k off.""Incredible video: https://t.co/awdL4E2Zyf<e2><80><94> David Hookstead (@dhookstead) January 6, 2020Reminder that as this crisis escalates, we have no Director of National Intelligence, no Dep Dir, no Homeland Security Secretary, no Dep Sec, no head of CBP or ICE, no State Dept Under Sec of Arms Control, no Asst Sec for Europe, and no Navy Sec.<e2><80><94> Garrett M. Graff (@vermontgmg) January 8, 2020whoa https://t.co/lSBUHv0nsG<e2><80><94> jakey (@nakeyjakey) ",2020-01-07,topTweets
U.S renews warning about threats from Iran to vessels in Gulf,2020-01-07,topNewsHeadlines
"Puerto Rican natural arch, Punta Ventana, collapses amid 5.8 magnitude earthquake",2020-01-07,topNewsHeadlines
BREAKING: Covington Catholic Student Nick Sandmann Gets Settlement From CNN After $275 Million Lawsuit,2020-01-07,topNewsHeadlines
