date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
2020-04-02,LA,9150,41936,NA,1639,NA,NA,NA,507,NA,NA,74378a606d03569d38f8e7ee8f3eb876d17a661a,310,NA,51086,51086,51086,22,37,0,2584,2726,5310
2020-04-02,MA,8966,47642,NA,NA,813,NA,NA,NA,NA,NA,79d0614d1b714ae75a41b332ec20fb5cbecebab8,154,813,56608,56608,56608,25,32,131,3642,1228,4870
2020-04-02,MD,2331,18890,NA,NA,582,NA,NA,NA,NA,81,ecc07bae25f936e57b3850a6ce3bcb5de2a72e94,36,582,21221,21221,21221,24,5,60,1657,346,2003
2020-04-02,ME,376,6088,NA,NA,68,NA,NA,NA,NA,94,06fbf4e13e1f498f67a0c8c3ed6230b5d2545f50,7,68,6464,6464,6464,23,0,5,0,32,32
2020-04-02,MI,14117,30368,NA,NA,NA,NA,NA,NA,NA,NA,abebb0f8a0764dcc090aee82a1c844333dae4b87,417,NA,44485,44485,44485,26,80,0,3131,1229,4360
2020-04-02,MN,742,21652,NA,75,138,38,38,NA,NA,NA,af6b7633af8e8dd204b0ba17fe37e8ade6cd0abb,18,138,22394,22394,22394,27,1,16,1150,53,1203
2020-04-02,MO,1834,17849,NA,NA,NA,NA,NA,NA,NA,NA,db61b660ddb54194c33a182e92605bcbeccb7e37,19,NA,19683,19683,19683,29,1,0,2003,253,2256
2020-04-02,MP,8,13,12,NA,NA,NA,NA,NA,NA,NA,4c6b9b16d6a6f74a9d5d88fac1a5f162fbf047df,1,NA,33,21,21,69,1,0,13,2,15
2020-04-02,MS,1177,4753,NA,NA,360,NA,NA,NA,NA,NA,3fcf47375c2d49eb03ea205131eac0e18c42a29d,26,360,5930,5930,5930,28,4,28,1041,104,1145
2020-04-02,MT,227,5093,NA,NA,20,NA,NA,NA,NA,NA,83ed127512ee7881e2dc28380478203d2775dbaa,5,20,5320,5320,5320,30,0,3,383,19,402
2020-04-02,NC,1857,26822,NA,184,NA,NA,NA,NA,NA,NA,02a3e91a943b52c408f70185009c0908f88ffe18,16,NA,28679,28679,28679,37,6,0,2163,273,2436
2020-04-02,ND,159,4821,NA,NA,28,NA,NA,NA,NA,43,772ba7dafcd9354101e253cccb816ef1eebf1dc7,3,28,4980,4980,4980,38,0,5,470,17,487
2020-04-02,NE,246,3978,11,NA,NA,NA,NA,NA,NA,NA,1e5adc3c19a8d6dfeddcd695a6e27c0091ee0f4a,5,NA,4235,4224,4224,31,1,0,503,36,539
2020-04-02,NH,415,6078,126,NA,58,NA,NA,NA,NA,91,85834510c408ec08a6cc26b011efba15b9c91fa4,4,58,6619,6493,6493,33,0,2,93,0,93
2020-04-02,NJ,25590,33520,NA,2000,NA,NA,NA,NA,NA,NA,787104ddf97e6c1c54a17fc84bff2f6cf5801c39,537,NA,59110,59110,59110,34,182,0,3133,3335,6468
2020-04-02,NM,363,13648,NA,31,NA,NA,NA,NA,NA,26,63f4d9a139969285dde777b0114ad3dfa234ef53,6,NA,14011,14011,14011,35,1,0,723,48,771
2020-04-02,NV,1458,12588,NA,NA,NA,NA,NA,NA,NA,NA,ac281047995939a05d81fab70153c5a347c9a93f,38,NA,14046,14046,14046,32,12,0,1069,179,1248
2020-04-02,NY,92381,146584,NA,13383,20817,3396,NA,NA,NA,7434,764d0566c27be04c416c502640d5fffbcb8cad26,2373,20817,238965,238965,238965,36,432,2449,9416,8669,18085
2020-04-02,OH,2902,32016,NA,NA,802,NA,260,NA,NA,NA,9cb637113ec0c42f449d0e11e3fb945befdcb348,81,802,34918,34918,34918,39,16,123,5024,355,5379
2020-04-02,OK,879,1265,NA,182,257,144,NA,NA,NA,NA,5085d08567113dc9cd8b3fe10058c452e252bef7,34,257,2144,2144,2144,40,4,38,17,160,177
2020-04-02,OR,826,15259,NA,134,188,NA,NA,38,NA,NA,52a7aca8aaa9fe439cda2bd887a39b03c5c9dd41,21,188,16085,16085,16085,41,3,34,2123,90,2213
2020-04-02,PA,7016,47698,NA,NA,730,NA,NA,NA,NA,NA,0dc7935c18797a0f7616c41c364e159c12d62657,90,730,54714,54714,54714,42,16,110,5271,1211,6482
